"No","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1833,"SHIP CONSTRUCTION","South Dublin","Fortunestown (MacUilliam)",28,"*N/A","","","","","","Q4-2018"
1834,"SHIP CONSTRUCTION","South Dublin","Mayfield Estate, Clondalkin",17,"*N/A","","","","","","Q2-2018"
1835,"SHIP CONSTRUCTION","South Dublin","St Marks Green, Clondalkin",11,"*N/A","","","","","","Q3-2018"
1836,"SHIP CONSTRUCTION","South Dublin","St. Marks Avenue, Clondalkin",41,"*N/A","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
1837,"SHIP CONSTRUCTION","South Dublin","Balgaddy F, Griffeen Avenue, Lucan Co. Dublin",69,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
1838,"SHIP CONSTRUCTION","South Dublin","St Finians",2,"*N/A","","","","","","Q3-2016"
1839,"SHIP CONSTRUCTION","South Dublin","Suncroft, Tallaght",10,"*N/A","","","","","","Q4-2016"
1840,"SHIP CONSTRUCTION","South Dublin","Belgard Road",3,"*N/A","","","","","","Q1-2016"
1841,"SHIP CONSTRUCTION","South Dublin","St. Catherine�s, Knockmore Avenue, Killinarden, Tallaght",12,"*N/A","","","Stage 3 approved Q4-2019, the scheme is now approved to proceed to tender.","","",""
1842,"SHIP CONSTRUCTION","South Dublin","Homeville, Knocklyon, Dublin 16",16,"*N/A","","","","Stage 4 approved Q1-2020, the scheme is fully approved.","",""
1843,"SHIP CONSTRUCTION","South Dublin","Killinarden, Tallaght",9,"*N/A","","","","","","Q1-2019"
1844,"SHIP CONSTRUCTION","South Dublin","Nangor Road, Clondalkin, Dublin 22",93,"*N/A","","","","","Q2-2020",""
1845,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","South Dublin","Corkage Grange (part of Kilcarbery)",109,"*N/A","","","","","Q1-2019",""
1846,"SHIP CONSTRUCTION","Tipperary","Mulkear View, Newport, Tipperary",3,"*N/A","","","","","","Q4-2018"
1847,"SHIP CONSTRUCTION","Tipperary","Grange Road, Ballina",4,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1848,"SHIP CONSTRUCTION","Tipperary","Ard na Greine, Clonmel",2,"*N/A","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
1849,"SHIP CONSTRUCTION","Tipperary","Knockanrawley",28,"*N/A","","","","","Q4-2019",""
1850,"SHIP CONSTRUCTION","Tipperary","Mill Road, Thurles",28,"*N/A","","","","","Q2-2020",""
1851,"SHIP CONSTRUCTION","Tipperary","Mulkear View, Newport",11,"*N/A","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
1852,"SHIP CONSTRUCTION","Tipperary","Treacy Park, Carrick on Suir",1,"*N/A","","","","","","Q3-2018"
1853,"SHIP CONSTRUCTION","Tipperary","Templetouhy",10,"*N/A","","","","","Q4-2019",""
1854,"SHIP CONSTRUCTION","Tipperary","Borrisoleigh",12,"*N/A","Stage 1 approved Q1-2016, outline design and costs being prepared.","","","","",""
1855,"SHIP CONSTRUCTION","Tipperary","Abbey Street, Cahir",10,"*N/A","","","","Stage 4 approved Q1-2020, the scheme is fully approved.","",""
1856,"SHIP CONSTRUCTION","Tipperary","Borrisokane",16,"*N/A","","","","Stage 4 approved Q1-2020, the scheme is fully approved.","",""
1857,"SHIP CONSTRUCTION","Tipperary","Portroe, Nenagh",14,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1858,"SHIP CONSTRUCTION","Tipperary","Cloughjordan",2,"*N/A","","","","","Q3-2019",""
1859,"SHIP CONSTRUCTION","Tipperary","Glenconnor Road, Clonmel",26,"*N/A","","","","","Q4-2018",""
1860,"SHIP CONSTRUCTION","Tipperary","Gortataggart, Thurles",2,"*N/A","","","","","","Q4-2018"
1861,"SHIP CONSTRUCTION","Tipperary","Kilcooly Way, Gortnahoe",5,"*N/A","","","","","Q1-2019",""
1862,"SHIP CONSTRUCTION","Tipperary","Lacey Avenue, Templemore",3,"*N/A","","","","","","Q3-2016"
1863,"SHIP CONSTRUCTION","Tipperary","Mitchel St., Thurles",1,"*N/A","","","","","Q4-2019",""
1864,"CAS CONSTRUCTION TURNKEY","Tipperary","Monastery Close, Templemore Road, Thurles",15,"Thurles Lions Trust Housing Assoc.","","","","","","Q2-2019"
1865,"CAS CONSTRUCTION TURNKEY","Tipperary","Drummin Village, Nenagh",8,"Nenagh Voluntary Housing Association","","","","","Q2-2020",""
1866,"CAS CONSTRUCTION","Tipperary","Ballinagrana, Carrick on Suir",3,"Camphill Communities of Ireland","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
1867,"CAS CONSTRUCTION","Tipperary","Castle Street, Carrick on Suir",1,"Camphill Communities of Ireland","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
1868,"CAS CONSTRUCTION","Tipperary","The Strand, Carrick on Suir",3,"Camphill Communities of Ireland","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
1869,"CAS CONSTRUCTION","Tipperary","Glenconnor Road, Clonmel",9,"Cluid Housing Association","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
1870,"CAS CONSTRUCTION","Tipperary","Stanwix House, Kickham Street, Thurles",19,"Thurles Lions Trust Housing Assoc.","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
1871,"CAS CONSTRUCTION","Tipperary","Main Street, Templemore",14,"Templemore Voluntary Housing Association","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
1872,"CALF Turnkey","Tipperary","An Duiche, Tipperary Town, Co. Tipperary (Phase 1)",41,"Respond","","","","","","Q4-2019"
1873,"CALF Turnkey","Tipperary","An Duiche, Tipperary Town, Co. Tipperary (Phase 2)",2,"Respond","","","","","","Q4-2019"
1874,"CALF Turnkey","Tipperary","Ashbury, Roscrea, Co Tipperary (Phase 1)",12,"Cluid Housing","","","","","","Q2-2017"
1875,"CALF Turnkey","Tipperary","Ashgrove, Monadreen, Thurles, Co Tipperary  (Phase 1)",9,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2018"
1876,"CALF Turnkey","Tipperary","Ashgrove, Monadreen, Thurles, Co. Tipperary (Phase 1)",10,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2019"
1877,"CALF Turnkey","Tipperary","Ashgrove, Monadreen, Thurles, Co. Tipperary (Phase 2)",7,"Co - Operative Housing Ireland Society Limited","","","","","Q1-2019",""
1878,"CALF Turnkey","Tipperary","Mill Street, Carrick on Suir, Co. Tipperary (Phase 1)",22,"T�ath Housing Association Ltd","","","","","Q4-2018",""
1879,"CALF Turnkey","Tipperary","The Avenue, Drummin Village, Nenagh, Co. Tipperary (Phase 1)",13,"Focus Housing Association CLG","","","","","Q2-2020",""
1880,"SHIP CONSTRUCTION TURNKEY","Waterford","Kilrush, Dungarvan",8,"*N/A","","","","","","Q3-2018"
1881,"SHIP CONSTRUCTION TURNKEY","Waterford","Gibbethill, Gracedieu",5,"*N/A","","","","","","Q3-2018"
1882,"SHIP CONSTRUCTION TURNKEY","Waterford","Carrickphierish, Gracedieu, Waterford",31,"*N/A","","","","","","Q4-2018"
1883,"SHIP CONSTRUCTION TURNKEY","Waterford","Shandon, Dungarvan",5,"*N/A","","","","","","Q3-2018"
1884,"SHIP CONSTRUCTION TURNKEY","Waterford","Airport Road, Waterford City",33,"*N/A","","","","","","Q4-2018"
1885,"SHIP CONSTRUCTION TURNKEY","Waterford","Kilrush, Dungarvan - Phase 2",10,"*N/A","","","","","","Q4-2018"
1886,"SHIP CONSTRUCTION TURNKEY","Waterford","Kilrush, Dungarvan - Phase 3",21,"*N/A","","","","","","Q4-2018"
1887,"SHIP CONSTRUCTION TURNKEY","Waterford","Lacken Road, Waterford",20,"*N/A","","","","","","Q3-2019"
1888,"SHIP CONSTRUCTION TURNKEY","Waterford","Lacken Road, Waterford - Phase 2",14,"*N/A","","","","","","Q4-2019"
1889,"SHIP CONSTRUCTION TURNKEY","Waterford","Lacken Road, Waterford - Phase 3",6,"*N/A","","","","","","Q2-2020"
1890,"SHIP CONSTRUCTION TURNKEY","Waterford","Lacken Road, Waterford - Phase 4",15,"*N/A","","","","Stage 4 approved Q3-2018, the scheme is fully approved.","",""
1891,"SHIP CONSTRUCTION TURNKEY","Waterford","Estuary Heights, Shandon, Dungarvan",6,"*N/A","","","","","","Q3-2019"
1892,"SHIP CONSTRUCTION TURNKEY","Waterford","Railway Gardens, Lismore",6,"*N/A","","","","","Q3-2019",""
1893,"SHIP CONSTRUCTION TURNKEY","Waterford","Estuary Heights, Shandon, Dungarvan",8,"*N/A","","","","","","Q4-2019"
1894,"SHIP CONSTRUCTION TURNKEY","Waterford","Railway Gardens, Lismore - Phase 2",6,"*N/A","","","","","Q3-2019",""
1895,"SHIP CONSTRUCTION TURNKEY","Waterford","Railway Gardens, Lismore - Phase 2",5,"*N/A","","","","","Q3-2019",""
1896,"SHIP CONSTRUCTION TURNKEY","Waterford","Estuary Heights, Shandon, Dungarvan",6,"*N/A","","","","","","Q4-2019"
1897,"SHIP CONSTRUCTION TURNKEY","Waterford","Mount Suir, Gracedieu, Carrickphierish",18,"*N/A","","","","","","Q4-2019"
1898,"SHIP CONSTRUCTION TURNKEY","Waterford","Mount William, Williamstown, Waterford City",20,"*N/A","","","","Stage 4 approved Q1-2020, the scheme is fully approved.","",""
1899,"SHIP CONSTRUCTION TURNKEY","Waterford","7A and 8A Barnes Lane, The Glen, Waterford",2,"*N/A","","","","","","Q4-2019"
1900,"SHIP CONSTRUCTION TURNKEY","Waterford","4 and 12 Ard Alainn, Sherlock Walk, Gracedieu, Waterford",2,"*N/A","","","","","","Q2-2020"
1901,"SHIP CONSTRUCTION TURNKEY","Waterford","Mount William, Williamstown, Waterford City",45,"*N/A","","","","Stage 4 approved Q1-2020, the scheme is fully approved.","",""
1902,"SHIP CONSTRUCTION RAPID","Waterford","Ballygunner, Waterford City",49,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
1903,"SHIP CONSTRUCTION RAPID","Waterford","Ballynaneashagh, Waterford City",22,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
1904,"SHIP CONSTRUCTION","Tipperary","Borrisoleigh",1,"*N/A","","","","","","Q4-2016"
1905,"SHIP CONSTRUCTION","Tipperary","Lower Ballingarry",1,"*N/A","","","","","","Q2-2016"
1906,"SHIP CONSTRUCTION","Tipperary","Poulamaleen, Faugheen",1,"*N/A","","","","","","Q2-2016"
1907,"SHIP CONSTRUCTION","Tipperary","Cormack Drive, Nenagh",12,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1908,"SHIP CONSTRUCTION","Tipperary","Lacey Avenue, Templemore",1,"*N/A","","","","","","Q3-2017"
1909,"SHIP CONSTRUCTION","Tipperary","Borrisoleigh",1,"*N/A","","","","","","Q4-2018"
1910,"SHIP CONSTRUCTION","Tipperary","Bansha",14,"*N/A","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
1911,"SHIP CONSTRUCTION","Tipperary","Ned Hayes Drive, Twomileborris, Thurles",22,"*N/A","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
1912,"SHIP CONSTRUCTION","Tipperary","Donohill, ",4,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
1913,"SHIP CONSTRUCTION","Tipperary","Mullinahone",10,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
1914,"SHIP CONSTRUCTION","Tipperary","Clerihan",14,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
1915,"SHIP CONSTRUCTION","Tipperary","Ard Alainn, Moyne",9,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
1916,"SHIP CONSTRUCTION","Tipperary","Ardcroney",4,"*N/A","","Stage 2 approved Q1-2020, full design/tender being prepared.","","","",""
1917,"SHIP CONSTRUCTION","Waterford","An Garran, Crobally Upper, Tramore",50,"*N/A","","","Stage 3 approved Q2-2020, the scheme is now approved to proceed to tender.","","",""
1918,"SHIP CONSTRUCTION","Waterford","Alms Houses, Tallow",4,"*N/A","","","","","","Q4-2018"
1919,"SHIP CONSTRUCTION","Waterford","Ardmore Park/Priory Lawn, Waterford City (also referred to as Saviours Green, Ballybeg)",5,"*N/A","","","","","Q2-2019",""
1920,"CAS CONSTRUCTION","Waterford","Convent Hill, Tramore",10,"Society of Saint Vincent de Paul","","","","","","Q1-2017"
1921,"CAS CONSTRUCTION","Waterford","Powersfield, Hennessys Road, Waterford",3,"Focus Ireland","","Stage 2 approved Q2-2016, full design/tender being prepared.","","","",""
1922,"CAS CONSTRUCTION","Waterford","Wadding Manor, Ferrybank",10,"Respond","","","","","Q4-2019",""
1923,"CAS CONSTRUCTION","Waterford","The Paddocks, Williamstown Rd. Waterford",9,"Anvers Housing Association Ltd","","","Stage 3 approved Q2-2018, the scheme is now approved to proceed to tender.","","",""
1924,"CALF Turnkey","Waterford","Kilbarry, Waterford (Phase 1)",69,"Respond","","","","","Q4-2018",""
1925,"CALF Construction","Waterford","St Johns College, Waterford (Phase 1)",36,"Respond","","","","","","Q1-2016"
1926,"CALF Turnkey","Waterford","The Walk, Fairfield Park, Kilcohan, Waterford (Phase 1)",40,"Circle Voluntary Housing Association Ltd","","","","","","Q4-2019"
1927,"SHIP CONSTRUCTION TURNKEY","Westmeath","Lissywollen, Athlone",55,"*N/A","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
1928,"SHIP CONSTRUCTION TURNKEY","Westmeath","Lissywollen, Athlone (Phase 2A and 2B)",55,"*N/A","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
1929,"SHIP CONSTRUCTION TURNKEY","Westmeath","Lissywollen, Athlone (Phase 3A)",38,"*N/A","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
1930,"SHIP CONSTRUCTION TURNKEY","Westmeath","Lissywollen, Athlone (Phase 3B)",22,"*N/A","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
1931,"SHIP CONSTRUCTION TURNKEY","Westmeath","Belvedere Hills, Mullingar",21,"*N/A","","","","","","Q4-2017"
1932,"SHIP CONSTRUCTION TURNKEY","Westmeath","Cloon Lara, Mullingar",12,"*N/A","","","","","","Q2-2019"
1933,"SHIP CONSTRUCTION TURNKEY","Westmeath","Abbeybrook, Kilbeggan",7,"*N/A","","","","","","Q1-2019"
1934,"SHIP CONSTRUCTION TURNKEY","Westmeath","Lakepoint, Mullingar",31,"*N/A","","","","","Q4-2019",""
1935,"SHIP CONSTRUCTION TURNKEY","Westmeath","Coill Rua, Mullingar",6,"*N/A","","","","","","Q4-2019"
1936,"SHIP CONSTRUCTION TURNKEY","Westmeath","Rathgarve Green, Castlepollard",3,"*N/A","","","","","","Q1-2020"
1937,"SHIP CONSTRUCTION TURNKEY","Westmeath","Valley Cottages, Mullingar",3,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
1938,"SHIP CONSTRUCTION TURNKEY","Westmeath","Austin Friars Street, Mullingar",4,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
1939,"SHIP CONSTRUCTION TURNKEY","Westmeath","Rathgarve Green, Castlepollard",6,"*N/A","","","","","Q1-2020",""
1940,"SHIP CONSTRUCTION TURNKEY","Westmeath","Oakcrest, Ballinderry, Mullingar",8,"*N/A","","","","Stage 4 approved Q1-2020, the scheme is fully approved.","",""
1941,"SHIP CONSTRUCTION RAPID","Westmeath","O'Growney Green, Mullingar",14,"*N/A","Stage 1 approved Q2-2018, outline design and costs being prepared.","","","","",""
1942,"SHIP CONSTRUCTION RAPID","Westmeath","Dalton Park, Mullingar",12,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
1943,"SHIP CONSTRUCTION RAPID","Westmeath","Water Street, Castlepollard",7,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
1944,"SHIP CONSTRUCTION RAPID","Westmeath","Ennell Court, Mullingar (Phase 1)",15,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
1945,"SHIP CONSTRUCTION","Waterford","Ballinroad, Dungarvan",21,"*N/A","","","","","","Q2-2020"
1946,"SHIP CONSTRUCTION","Waterford","Barrack Street, Cappoquin",4,"*N/A","","","","","","Q4-2017"
1947,"SHIP CONSTRUCTION","Waterford","Coolfin Woods, Portlaw",12,"*N/A","","","","","","Q2-2019"
1948,"SHIP CONSTRUCTION","Waterford","Larchville, Waterford City",5,"*N/A","","","","","Q1-2020",""
1949,"SHIP CONSTRUCTION","Waterford","Patrick Street, Tramore",2,"*N/A","","","","","","Q3-2018"
1950,"SHIP CONSTRUCTION","Waterford","Doyle Street, Waterford City",4,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1951,"SHIP CONSTRUCTION","Waterford","Old Cinema Site, Dungarvan",15,"*N/A","","","","","","Q4-2016"
1952,"SHIP CONSTRUCTION","Waterford","The Glen, Bridge St, Waterford",17,"*N/A","","Stage 2 approved Q3-2018, full design/tender being prepared.","","","",""
1953,"SHIP CONSTRUCTION","Waterford","Clarendon Court, Penrose Lane, Waterford",24,"*N/A","Stage 1 approved Q1-2018, outline design and costs being prepared.","","","","",""
1954,"SHIP CONSTRUCTION","Waterford","Summerland Square, Waterford",12,"*N/A","","","Stage 3 approved Q1-2019, the scheme is now approved to proceed to tender.","","",""
1955,"SHIP CONSTRUCTION","Waterford","Bath St, Waterford City",4,"*N/A","","","","","","Q4-2019"
1956,"SHIP CONSTRUCTION","Waterford","Graigueshoneen, Kilmacthomas, Co Waterford",16,"*N/A","","","Stage 3 approved Q2-2020, the scheme is now approved to proceed to tender.","","",""
1957,"SHIP CONSTRUCTION","Waterford","Mount Esker, Ballytruckle Road, Waterford City",13,"*N/A","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
1958,"CAS CONSTRUCTION TURNKEY","Westmeath","Ardmore Road, Mullingar",10,"T�ath Housing Association Ltd","","","","","Q4-2019",""
1959,"CAS CONSTRUCTION TURNKEY","Westmeath","Ardmore Road, Mullingar",17,"T�ath Housing Association Ltd","","","","","Q4-2019",""
1960,"CAS CONSTRUCTION TURNKEY","Westmeath","Ardmore Road, Mullingar",9,"T�ath Housing Association Ltd","","","","","Q4-2019",""
1961,"CAS CONSTRUCTION","Westmeath","Farran, Mullingar",4,"T�ath Housing Association Ltd","","","","","Q4-2019",""
1962,"CALF Turnkey","Westmeath","Athlone Road, Moate, Co. Westmeath (Phase 1)*",14,"Oaklee Housing","","","","","Q1-2020",""
1963,"CALF Turnkey","Westmeath","Cluain Mullen, Castlepollard, Co. Westmeath (Phase 1)",8,"T�ath Housing Association Ltd","","","","","Q2-2019",""
1964,"CALF Turnkey","Westmeath","Cluain Mullen, Castlepollard, Westmeath (Phase 1)",2,"T�ath Housing Association Ltd","","","","","","Q2-2017"
1965,"CALF Turnkey","Westmeath","Coill Rua, Mullingar, Co. Westmeath (Phase 1)*",13,"Cluid Housing","","","","","Q4-2018",""
1966,"CALF Turnkey","Westmeath","Coill Rua, Mullingar, Co. Westmeath (Phase 2)*",23,"Cluid Housing","","","","","Q4-2018",""
1967,"CALF Turnkey","Westmeath","Coill Rua, Mullingar, Co. Westmeath (Phase 3)",8,"Cluid Housing","","","","","Q4-2018",""
1968,"CALF Construction","Westmeath","Farran, Mullingar, Co. Westmeath (Phase 1)",10,"T�ath Housing Association Ltd","","","","","Q4-2019",""
1969,"CALF Turnkey","Westmeath","Ghairdin Beag, Main Street, Rathwire, Killucan, Co. Westmeath (Phase 1)",6,"T�ath Housing Association Ltd","","","","","Q1-2019",""
1970,"CALF Turnkey","Westmeath","Rahanine, Rochfortbridge, Co Westmeath (Phase 1)",12,"T�ath Housing Association Ltd","","","","","Q4-2018",""
1971,"CALF Turnkey","Westmeath","Rathwire, Killucan, Co. Westmeath (Phase 1)",4,"T�ath Housing Association Ltd","","","","","Q4-2019",""
1972,"CALF Turnkey","Westmeath","Royal Canal, Ardmore Road, Mullingar, Co. Westmeath (Phase 1)",4,"T�ath Housing Association Ltd","","","","","Q3-2019",""
1973,"CALF Turnkey","Westmeath","Royal Canal, Ardmore Road, Mullingar, Co. Westmeath (Phase 2)",4,"T�ath Housing Association Ltd","","","","","Q3-2019",""
1974,"CALF Turnkey","Westmeath","The Orchard, Athlone, Co. Westmeath (Phase 1)",8,"T�ath Housing Association Ltd","","","","","","Q4-2019"
1975,"CALF Turnkey","Westmeath","The Orchard, Athlone, Co. Westmeath (Phase 2)*",14,"T�ath Housing Association Ltd","","","","","","Q2-2020"
1976,"CALF Turnkey","Westmeath","The Orchard, Athlone, Co. Westmeath (Phase 3)",10,"T�ath Housing Association Ltd","","","","","","Q2-2020"
1977,"SHIP CONSTRUCTION TURNKEY","Wexford","Madeira Oaks, Wexford",8,"*N/A","","","","","","Q3-2017"
1978,"SHIP CONSTRUCTION TURNKEY","Wexford","Gleann an Ghairdin, Ballytegan Road, Gorey",8,"*N/A","","","","","","Q1-2018"
1979,"SHIP CONSTRUCTION TURNKEY","Wexford","Ard Uisce, Whiterock, Wexford",11,"*N/A","","","","","","Q4-2018"
1980,"SHIP CONSTRUCTION TURNKEY","Wexford","Rath an Duin, Castlebridge",3,"*N/A","","","","","","Q3-2018"
1981,"SHIP CONSTRUCTION TURNKEY","Wexford","Gleann an Ghairdin, Ballytegan Road, Gorey (Phase 2a)",2,"*N/A","","","","","","Q2-2019"
1982,"SHIP CONSTRUCTION TURNKEY","Wexford","Ard Uisce, Whiterock, Wexford - Phase 2",10,"*N/A","","","","","","Q1-2019"
1983,"SHIP CONSTRUCTION TURNKEY","Wexford","Gleann an Ghairdin, Ballytegan Road, Gorey (Phase 1b)",10,"*N/A","","","","","","Q4-2018"
1984,"SHIP CONSTRUCTION TURNKEY","Wexford","Glen Aoibhinn, Ardamine, Gorey",5,"*N/A","","","","","","Q4-2018"
